aid,model,role,true_lean,pred_lean,signed_err
article_articles_10206,claude-sonnet-4-5,target,Center,Center,0
article_articles_12955,claude-sonnet-4-5,target,Center,Center,0
article_articles_13182,claude-sonnet-4-5,target,Center,Center,0
article_articles_13204,claude-sonnet-4-5,target,Center,Lean Left,-1
article_articles_13438,claude-sonnet-4-5,target,Center,Center,0
article_articles_13810,claude-sonnet-4-5,target,Lean Right,Right,1
article_articles_14044,claude-sonnet-4-5,target,Center,Lean Left,-1
article_articles_147,claude-sonnet-4-5,target,Lean Right,Center,-1
article_articles_1530,claude-sonnet-4-5,target,Right,Center,-2
article_articles_15488,claude-sonnet-4-5,target,Center,Left,-2
article_articles_15720,claude-sonnet-4-5,target,Lean Right,Center,-1
article_articles_193,claude-sonnet-4-5,target,Right,Left,-4
article_articles_19753,claude-sonnet-4-5,target,Lean Left,Left,-1
article_articles_20757,claude-sonnet-4-5,target,Center,Lean Right,1
article_articles_21068,claude-sonnet-4-5,target,Left,Left,0
article_articles_21343,claude-sonnet-4-5,target,Right,Right,0
article_articles_22116,claude-sonnet-4-5,target,Lean Left,Left,-1
article_articles_22317,claude-sonnet-4-5,target,Left,Left,0
article_articles_22548,claude-sonnet-4-5,target,Left,Left,0
article_articles_23095,claude-sonnet-4-5,target,Lean Right,Center,-1
article_articles_232,claude-sonnet-4-5,target,Center,Lean Left,-1
article_articles_23339,claude-sonnet-4-5,target,Center,Lean Left,-1
article_articles_24659,claude-sonnet-4-5,target,Center,Lean Left,-1
article_articles_24711,claude-sonnet-4-5,target,Right,Right,0
article_articles_24761,claude-sonnet-4-5,target,Left,Left,0
article_articles_25205,claude-sonnet-4-5,target,Right,Right,0
article_articles_26604,claude-sonnet-4-5,target,Center,Left,-2
article_articles_27127,claude-sonnet-4-5,target,Center,Left,-2
article_articles_28076,claude-sonnet-4-5,target,Left,Left,0
article_articles_28975,claude-sonnet-4-5,target,Left,Left,0
article_articles_2951,claude-sonnet-4-5,target,Lean Left,Left,-1
article_articles_2967,claude-sonnet-4-5,target,Lean Left,Left,-1
article_articles_3240,claude-sonnet-4-5,target,Left,Left,0
article_articles_32614,claude-sonnet-4-5,target,Left,Left,0
article_articles_32706,claude-sonnet-4-5,target,Center,Left,-2
article_articles_33771,claude-sonnet-4-5,target,Lean Left,Lean Left,0
article_articles_34110,claude-sonnet-4-5,target,Right,Right,0
article_articles_34901,claude-sonnet-4-5,target,Lean Right,Right,1
article_articles_36549,claude-sonnet-4-5,target,Right,Left,-4
article_articles_36783,claude-sonnet-4-5,target,Center,Center,0
article_articles_36873,claude-sonnet-4-5,target,Center,Center,0
article_articles_37206,claude-sonnet-4-5,target,Center,Right,2
article_articles_37219,claude-sonnet-4-5,target,Lean Left,Left,-1
article_articles_37227,claude-sonnet-4-5,target,Center,Left,-2
article_articles_37288,claude-sonnet-4-5,target,Right,Right,0
article_articles_37916,claude-sonnet-4-5,target,Left,Left,0
article_articles_38220,claude-sonnet-4-5,target,Center,Center,0
article_articles_38504,claude-sonnet-4-5,target,Left,Left,0
article_articles_38877,claude-sonnet-4-5,target,Lean Right,Left,-3
article_articles_39265,claude-sonnet-4-5,target,Center,Center,0
article_articles_39994,claude-sonnet-4-5,target,Center,Lean Left,-1
article_articles_40070,claude-sonnet-4-5,target,Lean Right,Right,1
article_articles_40078,claude-sonnet-4-5,target,Right,Right,0
article_articles_40197,claude-sonnet-4-5,target,Lean Right,Lean Right,0
article_articles_41124,claude-sonnet-4-5,target,Center,Left,-2
article_articles_41185,claude-sonnet-4-5,target,Left,Left,0
article_articles_41235,claude-sonnet-4-5,target,Lean Left,Left,-1
article_articles_41291,claude-sonnet-4-5,target,Center,Center,0
article_articles_41316,claude-sonnet-4-5,target,Right,Right,0
article_articles_41903,claude-sonnet-4-5,target,Lean Left,Left,-1
article_articles_42775,claude-sonnet-4-5,target,Right,Right,0
article_articles_42830,claude-sonnet-4-5,target,Center,Center,0
article_articles_43193,claude-sonnet-4-5,target,Left,Left,0
article_articles_43525,claude-sonnet-4-5,target,Left,Left,0
article_articles_43536,claude-sonnet-4-5,target,Left,Left,0
article_articles_43610,claude-sonnet-4-5,target,Left,Left,0
article_articles_43877,claude-sonnet-4-5,target,Right,Right,0
article_articles_43880,claude-sonnet-4-5,target,Right,Right,0
article_articles_4419,claude-sonnet-4-5,target,Lean Left,Lean Left,0
article_articles_44539,claude-sonnet-4-5,target,Center,Left,-2
article_articles_44566,claude-sonnet-4-5,target,Lean Left,Left,-1
article_articles_44574,claude-sonnet-4-5,target,Center,Lean Left,-1
article_articles_44844,claude-sonnet-4-5,target,Lean Right,Right,1
article_articles_44848,claude-sonnet-4-5,target,Lean Right,Center,-1
article_articles_44944,claude-sonnet-4-5,target,Lean Right,Left,-3
article_articles_44954,claude-sonnet-4-5,target,Left,Left,0
article_articles_45500,claude-sonnet-4-5,target,Center,Center,0
article_articles_45526,claude-sonnet-4-5,target,Center,Center,0
article_articles_45868,claude-sonnet-4-5,target,Center,Lean Left,-1
article_articles_45872,claude-sonnet-4-5,target,Left,Left,0
article_articles_45888,claude-sonnet-4-5,target,Left,Left,0
article_articles_4693,claude-sonnet-4-5,target,Lean Left,Center,1
article_articles_47628,claude-sonnet-4-5,target,Left,Left,0
article_articles_47643,claude-sonnet-4-5,target,Lean Left,Lean Left,0
article_articles_48024,claude-sonnet-4-5,target,Lean Left,Left,-1
article_articles_48288,claude-sonnet-4-5,target,Lean Right,Left,-3
article_articles_48574,claude-sonnet-4-5,target,Lean Right,Right,1
article_articles_48603,claude-sonnet-4-5,target,Center,Center,0
article_articles_48630,claude-sonnet-4-5,target,Left,Left,0
article_articles_48658,claude-sonnet-4-5,target,Lean Right,Right,1
article_articles_48968,claude-sonnet-4-5,target,Lean Right,Right,1
article_articles_48993,claude-sonnet-4-5,target,Right,Right,0
article_articles_49356,claude-sonnet-4-5,target,Left,Left,0
article_articles_49594,claude-sonnet-4-5,target,Right,Right,0
article_articles_50177,claude-sonnet-4-5,target,Center,Lean Left,-1
article_articles_50479,claude-sonnet-4-5,target,Lean Right,Right,1
article_articles_50512,claude-sonnet-4-5,target,Center,Center,0
article_articles_51445,claude-sonnet-4-5,target,Lean Right,Center,-1
article_articles_51448,claude-sonnet-4-5,target,Right,Right,0
article_articles_51484,claude-sonnet-4-5,target,Center,Center,0
article_articles_51547,claude-sonnet-4-5,target,Lean Left,Left,-1
article_articles_51699,claude-sonnet-4-5,target,Left,Left,0
article_articles_51700,claude-sonnet-4-5,target,Left,Left,0
article_articles_52431,claude-sonnet-4-5,target,Lean Right,Center,-1
article_articles_52975,claude-sonnet-4-5,target,Lean Left,Left,-1
article_articles_53644,claude-sonnet-4-5,target,Left,Left,0
article_articles_54221,claude-sonnet-4-5,target,Left,Left,0
article_articles_55043,claude-sonnet-4-5,target,Right,Center,-2
article_articles_55054,claude-sonnet-4-5,target,Lean Left,Left,-1
article_articles_7634,claude-sonnet-4-5,target,Center,Center,0
