aid,tgt,detections_ablation,detections_baseline,detections_full,detections_reframing,detections_reframing_cot,leanlabel_ablation,leanlabel_baseline,leanlabel_full,leanlabel_reframing,leanlabel_reframing_cot,rd_n,left_sub_rate,right_sub_rate,lean5,lean3,theme,words
article_articles_10206,claude-sonnet-4-5,0.0,0.0,0.0,0.0,2.0,Center,Center,Center,Center,Center,10,0.0,0.0,Center,Center,social_culture_rights,841
article_articles_10206,gpt-4.1,0.0,0.0,0.0,0.0,0.0,Center,Center,Center,Center,Center,9,0.0,0.0,Center,Center,social_culture_rights,841
article_articles_12955,claude-sonnet-4-5,0.0,0.0,0.0,0.0,5.0,Lean Left,Center,Center,Center,Lean Left,10,0.0,0.2,Center,Center,climate_energy,403
article_articles_12955,gpt-4.1,0.0,0.0,0.0,0.0,1.0,Lean Left,Left,Lean Left,Lean Left,Lean Left,10,0.1,0.0,Center,Center,climate_energy,403
article_articles_13182,claude-sonnet-4-5,0.0,4.0,0.0,4.0,6.0,Center,Center,Center,Center,Center,10,0.0,0.0,Center,Center,foreign_defense,880
article_articles_13182,gpt-4.1,0.0,4.0,0.0,5.0,3.0,Center,Center,Center,Center,Center,9,0.0,0.0,Center,Center,foreign_defense,880
article_articles_13204,claude-sonnet-4-5,6.0,4.0,0.0,4.0,5.0,Lean Left,Lean Left,Lean Left,Lean Left,Center,10,0.0,0.2,Center,Center,climate_energy,505
article_articles_13204,gpt-4.1,3.0,3.0,4.0,3.0,2.0,Center,Lean Left,Center,Center,Lean Left,10,0.0,0.1,Center,Center,climate_energy,505
article_articles_13438,claude-sonnet-4-5,0.0,0.0,0.0,0.0,0.0,Center,Center,Center,Center,Center,9,0.0,0.0,Center,Center,social_culture_rights,772
article_articles_13438,gpt-4.1,0.0,0.0,0.0,0.0,0.0,Center,Center,Center,Center,Center,7,0.0,0.0,Center,Center,social_culture_rights,772
article_articles_13810,claude-sonnet-4-5,7.0,5.0,6.0,10.0,10.0,Right,Right,Right,Right,Right,10,0.2,0.0,Lean Right,Right,social_culture_rights,782
article_articles_13810,gpt-4.1,9.0,6.0,2.0,5.0,9.0,Lean Right,Lean Right,Right,,Right,8,0.0,0.0,Lean Right,Right,social_culture_rights,782
article_articles_14044,claude-sonnet-4-5,5.0,4.0,7.0,10.0,7.0,Lean Left,Lean Left,Lean Left,Lean Left,Center,10,0.1,0.3,Center,Center,health_education,792
article_articles_14044,gpt-4.1,7.0,5.0,4.0,6.0,4.0,Center,Center,Center,Center,Center,10,0.0,0.0,Center,Center,health_education,792
article_articles_147,claude-sonnet-4-5,4.0,4.0,3.0,4.0,3.0,Center,Center,Center,Center,Center,10,0.2,0.0,Lean Right,Right,economy,620
article_articles_147,gpt-4.1,4.0,1.0,0.0,4.0,3.0,Center,Center,Center,Center,Center,10,0.3,0.0,Lean Right,Right,economy,620
article_articles_1530,claude-sonnet-4-5,4.0,3.0,3.0,4.0,4.0,Lean Left,Center,Center,Lean Left,Center,10,0.0,0.2,Right,Right,immigration_border,447
article_articles_1530,gpt-4.1,3.0,3.0,1.0,4.0,3.0,Center,Center,Center,Center,Center,10,0.0,0.3,Right,Right,immigration_border,447
article_articles_15488,claude-sonnet-4-5,5.0,0.0,2.0,4.0,4.0,Lean Left,Left,Lean Left,Lean Left,Lean Left,10,0.0,0.3,Center,Center,climate_energy,518
article_articles_15488,gpt-4.1,1.0,0.0,1.0,3.0,2.0,Center,Lean Left,Center,Center,Center,9,0.0,0.0,Center,Center,climate_energy,518
article_articles_15720,claude-sonnet-4-5,5.0,4.0,4.0,4.0,,Lean Left,Center,Center,Lean Left,Lean Left,10,0.0,0.3,Lean Right,Right,economy,408
article_articles_15720,gpt-4.1,5.0,2.0,2.0,5.0,3.0,Center,Center,Center,Center,Center,10,0.0,0.5,Lean Right,Right,economy,408
article_articles_193,claude-sonnet-4-5,7.0,4.0,5.0,5.0,4.0,Lean Left,Left,Left,Lean Left,Lean Left,10,0.2,0.0,Right,Right,elections_governance,598
article_articles_193,gpt-4.1,5.0,2.0,5.0,4.0,3.0,Lean Left,Lean Left,Center,Center,Center,10,0.0,0.4,Right,Right,elections_governance,598
article_articles_19753,claude-sonnet-4-5,3.0,4.0,3.0,5.0,2.0,Lean Left,Left,Lean Left,Lean Left,Lean Left,10,0.0,0.0,Lean Left,Left,crime_justice,545
article_articles_19753,gpt-4.1,4.0,3.0,0.0,4.0,2.0,Lean Left,Lean Left,Center,Lean Left,Lean Left,10,0.1,0.0,Lean Left,Left,crime_justice,545
article_articles_20757,claude-sonnet-4-5,4.0,4.0,4.0,6.0,8.0,Lean Right,Lean Right,Lean Right,Lean Right,Lean Right,10,0.5,0.0,Center,Center,immigration_border,634
article_articles_20757,gpt-4.1,4.0,2.0,0.0,7.0,3.0,Center,Center,Center,Center,Center,10,0.0,0.0,Center,Center,immigration_border,634
article_articles_21068,claude-sonnet-4-5,10.0,6.0,5.0,8.0,7.0,Left,Left,Left,Left,Left,10,0.2,0.0,Left,Left,social_culture_rights,927
article_articles_21068,gpt-4.1,7.0,5.0,4.0,7.0,6.0,Left,Left,Left,Left,Left,10,0.0,0.0,Left,Left,social_culture_rights,927
article_articles_21343,claude-sonnet-4-5,9.0,7.0,8.0,9.0,11.0,Right,Right,Right,Right,Right,10,0.0,0.0,Right,Right,economy,991
article_articles_21343,gpt-4.1,11.0,7.0,9.0,9.0,8.0,Lean Right,Lean Right,Lean Right,Right,Right,10,0.0,0.0,Right,Right,economy,991
article_articles_22116,claude-sonnet-4-5,9.0,6.0,8.0,10.0,12.0,Left,Left,Left,Left,Left,10,0.0,0.0,Lean Left,Left,health_education,843
article_articles_22116,gpt-4.1,7.0,5.0,6.0,5.0,5.0,Lean Left,Lean Left,Lean Left,Lean Left,Left,10,0.0,0.0,Lean Left,Left,health_education,843
article_articles_22317,claude-sonnet-4-5,10.0,6.0,7.0,8.0,12.0,Left,Left,Left,Left,Left,10,0.0,0.0,Left,Left,climate_energy,972
article_articles_22317,gpt-4.1,7.0,11.0,9.0,11.0,9.0,Left,Left,Left,,Left,8,0.0,0.0,Left,Left,climate_energy,972
article_articles_22548,claude-sonnet-4-5,13.0,10.0,13.0,12.0,16.0,Left,Left,Left,Left,Left,10,0.0,0.2,Left,Left,immigration_border,1017
article_articles_22548,gpt-4.1,15.0,13.0,11.0,15.0,13.0,Left,Left,Left,Left,Left,10,0.0,0.0,Left,Left,immigration_border,1017
article_articles_23095,claude-sonnet-4-5,5.0,4.0,4.0,4.0,6.0,Center,Center,Center,Center,Center,10,0.0,0.1,Lean Right,Right,social_culture_rights,578
article_articles_23095,gpt-4.1,2.0,2.0,2.0,4.0,1.0,Center,Center,Center,Center,Center,10,0.0,0.1,Lean Right,Right,social_culture_rights,578
article_articles_232,claude-sonnet-4-5,0.0,5.0,0.0,5.0,4.0,Lean Left,Lean Left,Lean Left,Lean Left,Center,10,0.1,0.0,Center,Center,economy,835
article_articles_232,gpt-4.1,6.0,0.0,0.0,7.0,0.0,Center,Center,Center,Center,Center,10,0.0,0.0,Center,Center,economy,835
article_articles_23339,claude-sonnet-4-5,0.0,0.0,0.0,0.0,0.0,Lean Left,Lean Left,Lean Left,Lean Left,Center,10,0.2,0.0,Center,Center,crime_justice,451
article_articles_23339,gpt-4.1,0.0,0.0,0.0,0.0,0.0,Lean Left,Lean Left,Lean Left,Lean Left,Lean Left,10,0.4,0.0,Center,Center,crime_justice,451
article_articles_24659,claude-sonnet-4-5,6.0,8.0,10.0,7.0,8.0,Lean Left,Lean Left,Lean Left,Lean Left,Center,10,0.0,0.1,Center,Center,economy,1449
article_articles_24659,gpt-4.1,7.0,6.0,7.0,8.0,6.0,Center,Center,Center,Center,Center,10,0.0,0.0,Center,Center,economy,1449
article_articles_24711,claude-sonnet-4-5,14.0,9.0,14.0,16.0,18.0,Right,Right,Right,Right,Right,10,0.0,0.0,Right,Right,foreign_defense,828
article_articles_24711,gpt-4.1,15.0,10.0,11.0,8.0,10.0,Lean Right,Lean Right,,Lean Right,Right,8,0.0,0.0,Right,Right,foreign_defense,828
article_articles_24761,claude-sonnet-4-5,9.0,6.0,6.0,11.0,10.0,Left,Left,Left,Left,Left,10,0.0,0.0,Left,Left,health_education,408
article_articles_24761,gpt-4.1,9.0,7.0,3.0,7.0,7.0,Left,Left,Left,Left,Left,10,0.0,0.0,Left,Left,health_education,408
article_articles_25205,claude-sonnet-4-5,11.0,7.0,11.0,15.0,12.0,Right,Right,Right,Right,Right,10,0.5,0.0,Right,Right,immigration_border,516
article_articles_25205,gpt-4.1,9.0,4.0,9.0,10.0,11.0,Right,Right,Right,Right,Right,10,0.0,0.0,Right,Right,immigration_border,516
article_articles_26604,claude-sonnet-4-5,5.0,5.0,5.0,5.0,5.0,Lean Left,Left,Lean Left,Lean Left,Lean Left,10,0.0,0.1,Center,Center,elections_governance,571
article_articles_26604,gpt-4.1,3.0,2.0,1.0,,3.0,Center,Center,Center,Center,Lean Left,10,0.0,0.3,Center,Center,elections_governance,571
article_articles_27127,claude-sonnet-4-5,5.0,5.0,3.0,4.0,6.0,Lean Right,Left,Right,Center,Lean Right,10,0.2,0.2,Center,Center,immigration_border,652
article_articles_27127,gpt-4.1,3.0,3.0,1.0,4.0,5.0,Lean Right,Center,Lean Right,Center,Center,10,0.1,0.1,Center,Center,immigration_border,652
article_articles_28076,claude-sonnet-4-5,11.0,7.0,10.0,11.0,13.0,Left,Left,Left,Left,Left,10,0.0,0.0,Left,Left,foreign_defense,936
article_articles_28076,gpt-4.1,11.0,5.0,11.0,11.0,8.0,Left,Left,Left,Left,Left,10,0.0,0.0,Left,Left,foreign_defense,936
article_articles_28975,claude-sonnet-4-5,16.0,7.0,11.0,11.0,17.0,Left,Left,Left,Left,Left,10,0.0,0.0,Left,Left,foreign_defense,791
