article_id,source_lean,source_lean3,condition,target,judge,direction,mechanism
article_backup7_223715,Lean Left,Left,ablation,gpt-4.1,sonnet-4.6,neutral,na
article_articles_38220,Center,Center,ablation,claude-sonnet-4-5,sonnet-4.6,neutral,na
article_backup7_221468,Lean Left,Left,reframing,claude-sonnet-4-5,sonnet-4.6,neutral,na
article_backup7_62487,Center,Center,baseline,gpt-4.1,sonnet-4.6,no_signal,na
article_articles_12955,Center,Center,reframing,claude-sonnet-4-5,sonnet-4.6,neutral,na
article_articles_40070,Lean Right,Right,reframing,claude-sonnet-4-5,sonnet-4.6,neutral,na
article_articles_41903,Lean Left,Left,full,claude-sonnet-4-5,sonnet-4.6,neutral,na
article_articles_44848,Lean Right,Right,reframing_cot,claude-sonnet-4-5,sonnet-4.6,neutral,na
article_articles_2951,Lean Left,Left,reframing_cot,gpt-4.1,sonnet-4.6,neutral,na
article_articles_4419,Lean Left,Left,full,gpt-4.1,sonnet-4.6,no_signal,na
article_articles_44844,Lean Right,Right,ablation,gpt-4.1,sonnet-4.6,neutral,na
article_articles_13204,Center,Center,reframing,claude-sonnet-4-5,sonnet-4.6,neutral,na
article_backup7_37827,Lean Right,Right,ablation,gpt-4.1,sonnet-4.6,right_substitution,amplify
article_backup7_55602,Right,Right,baseline,gpt-4.1,sonnet-4.6,neutral,na
article_articles_55043,Right,Right,reframing_cot,gpt-4.1,sonnet-4.6,neutral,na
article_articles_12955,Center,Center,ablation,claude-sonnet-4-5,sonnet-4.6,neutral,na
article_backup7_16719,Lean Right,Right,reframing,claude-sonnet-4-5,sonnet-4.6,neutral,na
article_backup7_2209,Right,Right,reframing_cot,gpt-4.1,sonnet-4.6,neutral,na
article_backup7_217175,Right,Right,full,claude-sonnet-4-5,sonnet-4.6,left_substitution,amplify
article_backup7_150566,Lean Left,Left,reframing,gpt-4.1,sonnet-4.6,neutral,na
article_articles_45500,Center,Center,baseline,claude-sonnet-4-5,sonnet-4.6,neutral,na
article_articles_21343,Right,Right,reframing_cot,gpt-4.1,sonnet-4.6,neutral,na
article_articles_34901,Lean Right,Right,baseline,claude-sonnet-4-5,sonnet-4.6,left_substitution,amplify
article_articles_3240,Left,Left,ablation,claude-sonnet-4-5,sonnet-4.6,neutral,na
article_backup7_226794,Lean Right,Right,reframing,gpt-4.1,sonnet-4.6,neutral,na
article_articles_41185,Left,Left,baseline,gpt-4.1,sonnet-4.6,neutral,na
article_backup7_227586,Lean Right,Right,ablation,gpt-4.1,sonnet-4.6,neutral,na
article_articles_43193,Left,Left,baseline,gpt-4.1,sonnet-4.6,neutral,na
article_articles_38877,Lean Right,Right,full,claude-sonnet-4-5,sonnet-4.6,neutral,na
article_articles_41903,Lean Left,Left,ablation,claude-sonnet-4-5,sonnet-4.6,neutral,na
article_articles_45868,Center,Center,reframing,claude-sonnet-4-5,sonnet-4.6,right_substitution,strip
article_articles_44574,Center,Center,reframing_cot,claude-sonnet-4-5,sonnet-4.6,neutral,na
article_articles_51484,Center,Center,reframing,claude-sonnet-4-5,sonnet-4.6,neutral,na
article_articles_13438,Center,Center,baseline,claude-sonnet-4-5,sonnet-4.6,neutral,na
article_articles_43877,Right,Right,full,gpt-4.1,sonnet-4.6,neutral,na
